Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,2
3/8/2020,2
3/9/2020,2
3/10/2020,3
3/11/2020,5
3/12/2020,5
3/13/2020,5
3/14/2020,5
3/15/2020,5
3/16/2020,5
3/17/2020,5
3/18/2020,8
3/19/2020,10
3/20/2020,10
3/21/2020,14
3/22/2020,16
3/23/2020,17
3/24/2020,22
3/25/2020,23
3/26/2020,35
3/27/2020,36
3/28/2020,41
3/29/2020,51
3/30/2020,64
3/31/2020,62
4/1/2020,65
4/2/2020,69
4/3/2020,77
4/4/2020,89
4/5/2020,103
4/6/2020,106
4/7/2020,120
4/8/2020,124
4/9/2020,137
4/10/2020,138
4/11/2020,146
4/12/2020,163
4/13/2020,168
4/14/2020,175
4/15/2020,182
4/16/2020,197
4/17/2020,212
4/18/2020,235
4/19/2020,247
4/20/2020,256
4/21/2020,268
4/22/2020,283
4/23/2020,303
4/24/2020,317
4/25/2020,332
4/26/2020,342
4/27/2020,359
4/28/2020,365
4/29/2020,387
4/30/2020,397
5/1/2020,417
5/2/2020,435
5/3/2020,456
5/4/2020,468
5/5/2020,478
5/6/2020,497
5/7/2020,530
5/8/2020,566
5/9/2020,585
5/10/2020,600
5/11/2020,620
5/12/2020,636
5/13/2020,643
5/14/2020,650
5/15/2020,670
5/16/2020,678
5/17/2020,693
5/18/2020,702
5/19/2020,720
5/20/2020,724
5/21/2020,732
5/22/2020,749
5/23/2020,751
5/24/2020,755
5/25/2020,764
5/26/2020,766
5/27/2020,777
5/28/2020,788
5/29/2020,814
5/30/2020,837
5/31/2020,863
6/1/2020,865
6/2/2020,909
6/3/2020,940
6/4/2020,948
6/5/2020,1018
6/6/2020,1067
6/7/2020,1112
6/8/2020,1127
6/9/2020,1164
6/10/2020,1209
6/11/2020,1281
6/12/2020,1363
6/13/2020,1500
6/14/2020,1500
6/15/2020,1568
6/16/2020,1727
6/17/2020,1793
6/18/2020,1888
6/19/2020,2130
6/20/2020,2171
6/21/2020,2357
6/22/2020,2459
6/23/2020,2704
6/24/2020,2778
6/25/2020,2912
6/26/2020,3035
6/27/2020,3154
6/28/2020,3350
6/29/2020,3382
6/30/2020,3574
7/1/2020,3777
7/2/2020,3908
7/3/2020,4139
7/4/2020,4237
7/5/2020,4391
7/6/2020,4600
7/7/2020,4792
7/8/2020,4959
7/9/2020,5156
7/10/2020,5332
7/11/2020,5513
7/12/2020,5614
7/13/2020,5627
7/14/2020,5945
7/15/2020,6118
7/16/2020,6243
7/17/2020,6420
7/18/2020,6536
7/19/2020,6654
7/20/2020,6651
7/21/2020,6874
7/22/2020,6910
7/23/2020,6974
7/24/2020,7214
7/25/2020,7378
7/26/2020,7468
7/27/2020,7561
7/28/2020,7655
7/29/2020,7720
7/30/2020,7875
7/31/2020,7990
8/1/2020,8153
8/2/2020,8227
8/3/2020,8301
8/4/2020,8304
8/5/2020,8297
8/6/2020,8323
8/7/2020,8327
8/8/2020,8356
8/9/2020,8378
8/10/2020,8378
8/11/2020,8509
8/12/2020,8555
8/13/2020,8616
8/14/2020,8665
8/15/2020,8684
8/16/2020,8710
8/17/2020,8777
8/18/2020,8935
8/19/2020,8989
8/20/2020,9065
8/21/2020,9107
8/22/2020,9149
8/23/2020,9187
8/24/2020,9211
8/25/2020,9232
8/26/2020,9247
8/27/2020,9435
8/28/2020,9488
8/29/2020,9514
8/30/2020,9524
8/31/2020,9550
9/1/2020,9616
9/2/2020,9690
9/3/2020,9744
9/4/2020,9839
9/5/2020,9939
9/6/2020,9965
9/7/2020,9981
9/8/2020,9983
9/9/2020,10086
9/10/2020,10142
9/11/2020,10156
9/12/2020,10170
9/13/2020,10183
9/14/2020,10187
9/15/2020,10198
9/16/2020,10232
9/17/2020,10263
9/18/2020,10337
9/19/2020,10342
9/20/2020,10361
9/21/2020,10375
9/22/2020,10397
9/23/2020,10422
9/24/2020,10462
9/25/2020,10504
9/26/2020,10538
9/27/2020,10547
9/28/2020,10571
9/29/2020,10627
9/30/2020,10642
10/1/2020,10672
10/2/2020,10685
10/3/2020,10717
10/4/2020,10745
10/5/2020,10746
10/6/2020,10810
10/7/2020,10859
10/8/2020,10919
10/9/2020,10973
10/10/2020,11005
10/11/2020,11024
10/12/2020,11076
10/13/2020,11123
10/14/2020,11152
10/15/2020,11203
10/16/2020,11242
10/17/2020,11307
10/18/2020,11334
10/19/2020,11379
10/20/2020,11476
10/21/2020,11538
10/22/2020,11583
10/23/2020,11638
10/24/2020,11689
10/25/2020,11700
10/26/2020,11743
10/27/2020,11832
10/28/2020,11873
10/29/2020,11937
10/30/2020,11958
10/31/2020,12117
11/1/2020,12174
11/2/2020,12210
11/3/2020,12312
11/4/2020,12361
11/5/2020,12510
11/6/2020,12524
11/7/2020,12768
11/8/2020,12805
11/9/2020,12867
11/10/2020,13026
11/11/2020,13133
11/12/2020,13174
11/13/2020,13220
11/14/2020,13565
11/15/2020,13632
11/16/2020,13730
11/17/2020,13936
11/18/2020,14154
11/19/2020,14571
11/20/2020,14851
11/21/2020,15009
11/22/2020,15169
11/23/2020,15345
11/24/2020,15613
11/25/2020,15707
11/26/2020,15962
11/27/2020,16110
11/28/2020,16312
11/29/2020,16643
11/30/2020,16699
12/1/2020,17124
12/2/2020,17372
12/3/2020,17702
